用户ID,客户分类,区域,是否省会,7月销量,8月销量,9月销量,10月销量,11月销量
52093,A类,二线城市,否,,3,,9,4
25506,A类,三线城市,否,21,22,24,21,36
51741,A类,二线城市,否,11,14,13,12,5
4610,A类,一线城市,否,18,14,21,26,30
18446,A类,三线城市,否,25,8,11,8,5
39718,A类,二线城市,否,49,45,60,66,38
12493,A类,二线城市,否,25,15,20,13,9
23288,A类,二线城市,否,19,20,17,24,15
44218,A类,二线城市,否,20,10,9,8,11
7280,A类,二线城市,否,1,1,5,3,3
11346,A类,二线城市,否,4,7,6,7,6
50118,A类,三线城市,否,16,14,9,1,20
3278,A类,二线城市,否,11,10,6,10,13
21281,A类,二线城市,否,7,8,2,4,5
11327,A类,二线城市,否,43,31,52,54,63
14652,A类,二线城市,否,34,27,32,37,24
34260,A类,二线城市,否,12,8,7,13,9
14180,A类,二线城市,否,14,13,10,10,11
30740,A类,二线城市,否,9,8,10,5,4
4925,A类,二线城市,否,30,26,26,15,35
667,A类,二线城市,否,18,12,25,29,23
40798,A类,二线城市,否,22,24,16,9,15
1737,A类,二线城市,否,1,3,6,3,5
54237,A类,二线城市,否,24,5,19,6,8
1057,A类,二线城市,否,23,24,35,44,50
38256,A类,三线城市,否,16,9,9,14,14
57437,A类,二线城市,否,1,14,10,23,9
382,A类,二线城市,否,9,5,21,7,11
3568,A类,二线城市,否,45,46,70,33,10
9425,A类,二线城市,否,9,12,9,15,19
17642,A类,二线城市,否,14,13,6,22,9
24080,A类,二线城市,否,24,9,25,17,26
48965,A类,一线城市,否,41,34,42,35,41
3354,A类,二线城市,否,4,3,7,8,18
7153,A类,二线城市,否,20,14,15,17,10
15344,A类,二线城市,否,7,10,15,13,19
8615,A类,二线城市,否,5,5,6,5,9
47065,A类,二线城市,否,3,5,6,3,7
935,A类,二线城市,否,11,5,3,8,7
35913,A类,二线城市,否,10,2,4,8,5
42114,A类,二线城市,否,11,18,18,16,13
46555,A类,二线城市,否,7,2,1,2,5
5977,A类,一线城市,否,12,7,8,13,10
19139,A类,二线城市,否,6,17,10,9,8
56866,A类,二线城市,否,2,8,10,6,17
55834,A类,三线城市,否,16,12,10,9,22
57264,A类,二线城市,否,3,2,5,1,0
2415,A类,二线城市,否,13,15,28,10,10
20854,A类,三线城市,否,6,1,4,0,1
8759,A类,二线城市,否,15,16,21,23,9
18522,A类,三线城市,否,3,1,8,0,2
31519,A类,三线城市,否,2,3,6,4,3
11446,A类,二线城市,否,10,11,9,13,17
55395,A类,一线城市,否,5,3,12,8,7
51054,A类,二线城市,否,12,12,11,7,5
49277,A类,二线城市,否,10,24,24,28,28
2082,A类,二线城市,否,22,41,30,36,26
15785,A类,二线城市,否,8,18,6,4,16
41559,A类,二线城市,否,7,9,14,10,12
50535,A类,二线城市,否,6,14,8,9,13
11746,A类,二线城市,否,24,11,26,11,5
49022,A类,二线城市,否,7,7,7,6,11
54354,A类,二线城市,否,4,15,30,22,38
12724,A类,二线城市,否,9,4,7,3,7
36652,A类,二线城市,否,14,13,13,13,10
25883,A类,三线城市,否,5,1,1,3,3
54114,A类,二线城市,否,,,7,0,4
12012,A类,一线城市,否,3,3,3,4,3
